(+)-7-epi-jasmonate <=> (-)-jasmonate	1579	3
L-tryptophan[periplasm] -> L-tryptophan[cytosol]	1186	1186
L-tryptophan[periplasm] + H+[periplasm] <=> L-tryptophan[cytosol] + H+[cytosol]	1186 1064 	1186 1064 
L-tyrosine + 2-oxoglutarate <=> 3-(4-hydroxyphenyl)pyruvate + L-glutamate	1187 280 	301 1157 
L-tyrosine + 3-phenyl-2-oxopropanoate <=> 3-(4-hydroxyphenyl)pyruvate + L-phenylalanine	1187 371 	301 1174 
L-tyrosine + betalamate -> portulacaxanthin II + H+ + H2O	1187 794 	1366 1064 1066 
L-tyrosine[periplasm] -> L-tyrosine[cytosol]	1187	1187
L-valine + 2-oxoglutarate <- L-glutamate + 3-methyl-2-oxobutanoate	1157 340 	1188 280 
L-valine[cytosol] <=> L-valine[periplasm]	1188	1188
laurate + ATP + coenzyme A -> lauroyl-CoA + AMP + diphosphate	1190 718 856 	1191 707 955 
lauroyl-CoA + acetyl-CoA <- 3-oxo-myristoyl-CoA + coenzyme A	362 856 	1191 595 
lauroyl-CoA + H2O -> laurate + coenzyme A + H+	1191 1066 	1190 856 1064 
leukotriene-C4 + a proteinogenic amino acid -> an α-(γ-L-glutamyl)-L-amino acid + leukotriene-D4	1192 2023 	2471 1193 
linoleate + ATP + coenzyme A -> linoleoyl-CoA + AMP + diphosphate	1194 718 856 	1195 707 955 
lipid A disaccharide (E. coli) + ATP -> lipid IVA + ADP + H+	1197 718 	1201 616 1064 
lipid IVA + 4-amino-4-deoxy-α-L-arabinopyranosyl ditrans,octacis-undecaprenyl phosphate -> lipid IIA + di-trans,octa-cis-undecaprenyl phosphate	1201 1690 	1200 943 
lipid X + UDP-2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-α-D-glucosamine -> lipid A disaccharide (E. coli) + UDP + H+	1202 1750 	1197 1502 1064 
luteolin 7-O-[β-D-glucosyluronate-(1,2)-β-D-glucosiduronate]-4'-O-β-D-glucosiduronate + H2O = luteolin 7-O-β-D-diglucuronide + β-D-glucuronate	1206 1066 	1204 769 
luteolin 7-O-β-D-glucuronide + H2O = luteolin + β-D-glucuronate + H+	1205 1066 	1203 769 1064 
m7GTP + H2O = N7-methylguanosine 5'-phosphate + diphosphate + H+	1207 1066 	1295 955 1064 
malonyl-CoA + acyl-carrier protein -> a malonyl-[acp] + coenzyme A	1208 1624 	1776 856 
maltoheptaose + H2O -> maltohexaose + D-glucopyranose	1209 1066 	1210 1583 
maltoheptaose + phosphate -> maltohexaose + α-D-glucopyranose 1-phosphate	1209 1354 	1210 1584 
maltohexaose + D-glucopyranose <=> maltopentaose + maltose	1210 1583 	1211 2076 
maltohexaose + H2O -> maltopentaose + D-glucopyranose	1210 1066 	1211 1583 
maltohexaose + maltose -> maltoheptaose + D-glucopyranose	1210 2076 	1209 1583 
maltohexaose + phosphate -> maltopentaose + α-D-glucopyranose 1-phosphate	1210 1354 	1211 1584 
maltopentaose + D-glucopyranose <=> maltotetraose + maltose	1211 1583 	1212 2076 
maltopentaose + H2O -> maltotetraose + D-glucopyranose	1211 1066 	1212 1583 
maltopentaose + phosphate -> maltotetraose + α-D-glucopyranose 1-phosphate	1211 1354 	1212 1584 
maltose + acetyl-CoA -> 6-O-acetyl-α-D-glucopyranosyl-(1->4)-D-glucose + coenzyme A	2076 595 	2489 856 
maltose + H2O -> 2 D-glucopyranose	2076 1066 	1583
maltose[periplasm] + ATP + H2O -> maltose[cytosol] + ADP + phosphate + H+	2076 718 1066 	2076 616 1354 1064 
maltotetraose + D-glucopyranose <=> maltotriose + maltose	1212 1583 	1213 2076 
maltotetraose + phosphate -> maltotriose + α-D-glucopyranose 1-phosphate	1212 1354 	1213 1584 
maltotriose + H2O -> maltose + D-glucopyranose	1213 1066 	2076 1583 
meso-diaminopimelate + H+ -> L-lysine + CO2	1215 1064 	1168 834 
methanol + hydrogen peroxide -> formaldehyde + 2 H2O	1218 1075 	994 1066 
methanol + NAD+ = formaldehyde + NADH + H+	1218 1298 	994 1299 1064 
methyl parathion + H2O -> 4-nitrophenol + dimethylthiophosphate + 2 H+	1220 1066 	422 951 1064 
methyl β-D-glucoside 6-phosphate + H2O -> β-D-glucose 6-phosphate + methanol	1219 1066 	768 1218 
methylene-tetrahydropteroyl-[γ-Glu](n) + L-glutamate + ATP -> methylene-tetrahydropteroyl-[γ-Glu](n+1) + ADP + phosphate	2490 1157 718 	2490 616 1354 
methylglyoxal + a [protein]-L-arginine -> an Nω-(1-hydroxy-2-oxopropyl)-[protein]-L-arginine	1222 2391 	2390
methylglyoxal + a [protein]-L-cysteine -> an S-(1-hydroxy-2-oxopropyl)-[protein]-L-cysteine	1222 1827 	2406
methylglyoxal + a [protein]-L-lysine -> an N6-(1-hydroxy-2-oxopropyl)-[protein]-L-lysine + H+	1222 1918 	2389 1064 
methyloxaloacetate + H+ -> 2-oxobutanoate + CO2	1225 1064 	279 834 
Mg2+[periplasm] <=> Mg2+[cytosol]	1226	1226
Mo2+[periplasm] + ATP + H2O -> Mo2+[cytosol] + ADP + phosphate + H+	1229 718 1066 	1229 616 1354 1064 
molybdopterin adenine dinucleotide + molybdate + H+ -> AMP + MoO2-molybdopterin cofactor + H2O	1232 1230 1064 	707 1236 1066 
MoO2-molybdopterin cofactor + molybdopterin + H+ -> bis(molybdenum cofactor) + H2O	1236 1231 1064 	798 1066 
myristoyl-CoA + 1-myristoyl-sn-glycerol 3-phosphate -> 1,2-dimyristoyl-sn-glycerol 3-phosphate + coenzyme A	1238 170 	148 856 
n a 1,4-α-D-glucan -> n starch	1792	2491
n H+[in] -> n H+[out]	1064	1064
n α-amylose -> n amylopectin	2492	2493
N,N',N''-triacetylchitotriose + H2O -> N,N'-diacetylchitobiose + N-acetyl-D-glucosamine	1239 1066 	1944 1701 
N,N'-diacetylchitobiose + H2O -> 2 N-acetyl-D-glucosamine	1944 1066 	1701
N,N'-diacetylchitobiose 6'-phosphate + H2O -> N-monoacetylchitobiose 6'-phosphate + acetate	1240 1066 	1277 591 
N,N'-diacetylchitobiose[periplasm] + H+[periplasm] -> N,N'-diacetylchitobiose[cytosol] + H+[cytosol]	1944 1064 	1944 1064 
N-(2,3-dihydroxybenzoyl)-L-serine dimer + H2O -> 2 N-(2,3-dihydroxybenzoyl)-L-serine + H+	1243 1066 	1242 1064 
N-(2,3-dihydroxybenzoyl)-L-serine trimer + H2O -> N-(2,3-dihydroxybenzoyl)-L-serine dimer + N-(2,3-dihydroxybenzoyl)-L-serine + H+	1244 1066 	1243 1242 1064 
N-(4-aminobenzoyl)-L-glutamate[periplasm] -> N-(4-aminobenzoyl)-L-glutamate[cytosol]	1246	1246
N-(5-phosphoribosyl)-anthranilate -> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	1247	153
N-(5-phosphoribosyl)-anthranilate + diphosphate <- anthranilate + 5-phospho-α-D-ribose 1-diphosphate	713 1618 	1247 955 
N-acetyl-D-galactosamine 6-phosphate + H2O -> D-galactosamine 6-phosphate + acetate	1259 1066 	2443 591 
N-acetyl-D-glucosamine + ATP -> N-acetyl-D-glucosamine 6-phosphate + ADP + H+	1701 718 	2494 616 1064 
N-acetyl-D-glucosamine 6-phosphate + H2O -> D-glucosamine 6-phosphate + acetate	2494 1066 	2120 591 
N-acetyl-D-glucosaminyl-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanine + H2O -> N-acetyl-D-glucosaminyl-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysine + D-alanine	1261 1066 	1260 880 
N-acetyl-D-mannosamine + ATP -> N-acetyl-D-mannosamine 6-phosphate + ADP + H+	2495 718 	1262 616 1064 
N-acetyl-D-mannosamine 6-phosphate <=> N-acetyl-D-glucosamine 6-phosphate	1262	2494
N-acetyl-D-muramate 6-phosphate + H2O -> N-acetyl-D-glucosamine 6-phosphate + (R)-lactate	1263 1066 	2494 110 
N-acetyl-D-muramate[periplasm] + an [HPr protein]-Nπ-phospho-L-histidine -> N-acetyl-D-muramate 6-phosphate[cytosol] + an [HPr]-L-histidine	2496 1924 	1263 1922 
N-acetyl-L-citrulline + H2O = L-citrulline + acetate	1264 1066 	1146 591 
N-acetyl-L-glutamate + ATP -> N-acetylglutamyl-phosphate + ADP	1265 718 	1271 616 
N-acetyl-L-glutamate 5-semialdehyde + NADP+ + phosphate <- N-acetylglutamyl-phosphate + NADPH + H+	1271 1301 1064 	1266 1300 1354 
N-acetyl-L-ornithine + 2-oxoglutarate <- L-glutamate + N-acetyl-L-glutamate 5-semialdehyde	1157 1266 	1268 280 
N-acetyl-L-ornithine + H2O -> L-ornithine + acetate	1268 1066 	1173 591 
N-acetyl-muramoyl-(L-alanyl-γ-D-glutamyl-L-lysyl-D-alanyl-D-alanine) + H2O <=> N-acetyl-muramoyl-(L-alanyl-γ-D-glutamyl-L-lysyl-D-alanine) + D-alanine	1270 1066 	1269 880 
N-acetyl-α-D-galactosamine[periplasm] + an [HPr protein]-Nπ-phospho-L-histidine -> N-acetyl-α-D-galactosamine 1-phosphate[cytosol] + an [HPr]-L-histidine	2497 1924 	2498 1922 
N-acetyl-α-D-galactosamine[periplasm] + an [HPr protein]-Nπ-phospho-L-histidine -> N-acetyl-α-D-galactosamine 1-phosphate[cytosol] + an [HPr]-L-histidine	2497 1924 	2498 1922 
N-acetyl-α-D-galactosamine[periplasm] + H+[periplasm] -> N-acetyl-α-D-galactosamine[cytosol] + H+[cytosol]	2497 1064 	2497 1064 
N-acetyl-α-D-glucosamine[cytosol] -> N-acetyl-α-D-glucosamine[periplasm]	2499	2499
N-acetyl-α-neuraminate = N-acetyl-β-neuraminate	2500	1258
N-acetyl-β-D-glucosamine-1,6-anhydro-N-acetyl-β-D-muramate + H2O -> N-acetyl-β-D-glucosamine + 1,6-anhydro-N-acetyl-β-muramate	1255 1066 	1254 151 
N-acetyl-β-neuraminate -> N-acetyl-β-D-mannosamine + pyruvate	1258	1256 1401 
N-acetylneuraminate -> N-acetyl-D-mannosamine + pyruvate	2501	2495 1401 
N-acetylneuraminate[periplasm] -> N-acetylneuraminate[cytosol]	2501	2501
N-methyl-L-tryptophan + oxygen + H2O -> hydrogen peroxide + formaldehyde + L-tryptophan	1275 1336 1066 	1075 994 1186 
N-monoacetylchitobiose 6'-phosphate + H2O -> N-acetyl-D-glucosamine 6-phosphate + D-glucosamine	1277 1066 	2494 2268 
N-succinyl-L,L-2,6-diaminopimelate + H2O -> L,L-diaminopimelate + succinate	1279 1066 	1117 1462 
N1-(3-aminopropyl)agmatine + H2O -> spermidine + urea	1280 1066 	1457 1531 
N1-(5-phospho-β-D-ribosyl)glycinamide + formate + ATP -> N2-formyl-N1-(5-phospho-β-D-ribosyl)glycinamide + ADP + phosphate + H+	1281 995 718 	1285 616 1354 1064 
N1-methyladenine + 2-oxoglutarate + oxygen -> adenine + CO2 + formaldehyde + succinate	1284 280 1336 	597 834 994 1462 
N2-succinyl-L-arginine + 2 H+ + 2 H2O -> 2 ammonium + N2-succinyl-L-ornithine + CO2	1286 1064 1066 	706 1288 834 
N2-succinyl-L-glutamate 5-semialdehyde + NAD+ + H2O -> N2-succinylglutamate + NADH + 2 H+	1287 1298 1066 	1289 1299 1064 
N2-succinyl-L-ornithine + 2-oxoglutarate <=> L-glutamate + N2-succinyl-L-glutamate 5-semialdehyde	1288 280 	1157 1287 
N2-succinylglutamate + H2O -> L-glutamate + succinate	1289 1066 	1157 1462 
N5-carboxyaminoimidazole ribonucleotide -> 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	1291	440
N6-(6-phospho-D-fructosyl)-L-lysine + H2O -> β-D-glucose 6-phosphate + L-lysine	1292 1066 	768 1168 
N6-(D-fructosyl)-L-lysine <=> N6-(D-psicosyl)-L-lysine	1293	1294
Na+[periplasm] + (R)-pantothenate[periplasm] <=> Na+[cytosol] + (R)-pantothenate[cytosol]	1297 116 	1297 116 
Na+[periplasm] + L-alanine[periplasm] <=> Na+[cytosol] + L-alanine[cytosol]	1297 1119 	1297 1119 
Na+[periplasm] + L-proline[periplasm] <=> Na+[cytosol] + L-proline[cytosol]	1297 1175 	1297 1175 
Na+[periplasm] + melibiose[periplasm] <=> Na+[cytosol] + melibiose[cytosol]	1297 1214 	1297 1214 
Na+[periplasm] + phosphate[periplasm] -> Na+[cytosol] + phosphate[cytosol]	1297 1354 	1297 1354 
NAD(P)+[in] + H+[in] + 2 e-[membrane] -> NAD(P)H[in]	1600 1064 1606 	1601
NAD+ + H2O -> AMP + β-nicotinamide D-ribonucleotide + 2 H+	1298 1066 	707 792 1064 
NAD+ + NADPH -> NADH + NADP+	1298 1301 	1299 1300 
NAD+[in] + H+[in] + 2 e-[membrane] -> NADH[in]	1298 1064 1606 	1299
NADH + H2O = AMP + reduced β-nicotinamide D-ribonucleotide + 2 H+	1299 1066 	707 1406 1064 
NADH + H2O -> (R)-NADHX	1299 1066 	113
NADH + H2O -> (S)-NADHX	1299 1066 	134
NADP+ + H2O -> NAD+ + phosphate	1300 1066 	1298 1354 
NADP+[out] + H+[out] + 2 e-[membrane] -> NADPH[out]	1300 1064 1606 	1301
NADPH -> 1,2-dihydro-β-NADP	1301	147
NADPH + NAD+ + H+[in] <- NADP+ + NADH + H+[out]	1300 1299 1064 	1301 1298 1064 
Ni2+[periplasm] <- Ni2+[cytosol]	1304	1304
nicotinamide + H2O -> ammonium + nicotinate	1305 1066 	706 1306 
nicotinate + 5-phospho-α-D-ribose 1-diphosphate + ATP + H2O -> β-nicotinate D-ribonucleotide + ADP + diphosphate + phosphate	1306 1618 718 1066 	793 616 955 1354 
nitrate[in] + 2 H+[in] + 2 e-[membrane] -> nitrite[in] + H2O[in]	1308 1064 1606 	1310 1066 
nitrate[in] + a menaquinol[membrane] + 2 H+[in] -> nitrite[in] + a menaquinone[membrane] + H2O[in] + 2 H+[out]	1308 1613 1064 	1310 1612 1066 1064 
nitrate[in] + an electron-transfer quinol[membrane] -> nitrite[in] + an electron-transfer quinone[membrane] + H2O[in]	1308 1615 	1310 1614 1066 
nitrate[in] + an ubiquinol[membrane] + 2 H+[in] -> nitrite[in] + a ubiquinone[membrane] + 2 H+[out] + H2O[in]	1308 1603 1064 	1310 1602 1064 1066 
nitrate[out] + 2 a reduced [NapC protein][out] + 2 H+[out] -> 2 an oxidized [NapC protein][out] + nitrite[out] + H2O[out]	1308 2403 1064 	2402 1310 1066 
nitrate[out] + 2 H+[out] + 2 e-[membrane] -> nitrite[out] + H2O[out]	1308 1064 1606 	1310 1066 
nitrate[out] + a menaquinol[membrane] -> nitrite[out] + a menaquinone[membrane] + H2O[out]	1308 1613 	1310 1612 1066 
nitrate[out] + an ubiquinol[membrane] -> nitrite[out] + a ubiquinone[membrane] + H2O[out]	1308 1603 	1310 1602 1066 
nitrate[periplasm] -> nitrate[cytosol]	1308	1308
nitrate[periplasm] + nitrite[periplasm] -> nitrate[cytosol] + nitrite[cytosol]	1308 1310 	1308 1310 
nitrite[cytosol] <- nitrite[periplasm]	1310	1310
Nα,Nε-diacetyl-lysyl-D-alanyl-D-alanine + H2O <=> Nα,Nε-diacetyl-lysyl-D-alanine + D-alanine + H+	2502 1066 	2503 880 1064 
O-acetyl-L-serine + hydrogen sulfide -> L-cysteine + acetate + H+	1314 1077 	1149 591 1064 
O-acetyl-L-serine + thiosulfate <=> S-sulfo-L-cysteine + acetate + H+	1314 1479 	1436 591 1064 
O-acetyl-L-serine[cytosol] -> O-acetyl-L-serine[periplasm]	1314	1314
O-phospho-L-homoserine + H2O -> L-threonine + phosphate	1317 1066 	1185 1354 
O-phospho-L-serine + 2-oxoglutarate <- L-glutamate + 3-phosphooxypyruvate	1157 375 	1318 280 
O-phospho-L-serine + H2O -> L-serine + phosphate	1318 1066 	1182 1354 
O-succinyl-L-homoserine + hydrogen sulfide <=> L-homocysteine + succinate + H+	1319 1077 	1163 1462 1064 
O-succinyl-L-homoserine + L-cysteine <=> L-cystathionine + succinate + H+	1319 1149 	1147 1462 1064 
O-succinyl-L-homoserine + methanethiol <=> L-methionine + succinate + H+	1319 1217 	1169 1462 1064 
O-ureido-L-homoserine + L-aspartate + ATP -> canavaninosuccinate + AMP + diphosphate + H+	1320 1140 718 	808 707 955 1064 
octanoate + ATP + coenzyme A -> octanoyl-CoA + AMP + diphosphate	1321 718 856 	1322 707 955 
octanoyl-CoA + acetyl-CoA = 3-oxodecanoyl-CoA + coenzyme A	1322 595 	365 856 
oleate + ATP + coenzyme A -> oleoyl-CoA + AMP + diphosphate	1325 718 856 	1326 707 955 
oleate + ATP + coenzyme A + H+ -> oleoyl-CoA + AMP + diphosphate + H+	1325 718 856 1064 	1326 707 955 1064 
oleoyl-CoA + 1-oleoyl-sn-glycerol 3-phosphate = dioleoyl phosphatidate + coenzyme A	1326 172 	953 856 
oleoyl-CoA + an oxidized electron-transfer flavoprotein + H+ -> (2E,9Z)-octadecenoyl-CoA + a reduced electron-transfer flavoprotein	1326 1587 1064 	23 1588 
oleoyl-CoA + H2O -> oleate + coenzyme A + H+	1326 1066 	1325 856 1064 
ornithine[periplasm] + ATP + H2O -> ornithine[cytosol] + ADP + phosphate + H+	2484 718 1066 	2484 616 1354 1064 
orotate[in] + 2 H+[in] + 2 e-[membrane] -> (S)-dihydroorotate[in]	1329 1064 1606 	130
orotidine 5'-phosphate + diphosphate <- 5-phospho-α-D-ribose 1-diphosphate + orotate	1618 1329 	1330 955 
orotidine 5'-phosphate + H+ -> CO2 + UMP	1330 1064 	834 1525 
oxaloacetate + ATP -> CO2 + phosphoenolpyruvate + ADP	1332 718 	834 1356 616 
oxaloacetate + H+ -> pyruvate + CO2	1332 1064 	1401 834 
oxaloacetate + phosphate <- phosphoenolpyruvate + hydrogencarbonate	1356 1078 	1332 1354 
oxaloacetate[in] + 2 H+[in] + 2 e-[membrane] -> (S)-malate[in]	1332 1064 1606 	133
oxalosuccinate + H+ <=> 2-oxoglutarate + CO2	1333 1064 	280 834 
oxalyl-CoA + H+ -> CO2 + formyl-CoA	1334 1064 	834 996 
oxamate + carbamoyl phosphate <- N-carbamoyl-2-oxoglycine + phosphate	1273 1354 	1335 810 
oxygen[in] + 4 H+[in] + 4 e-[membrane] -> 2 H2O[in]	1336 1064 1606 	1066
P1,P4-bis(5'-adenosyl) tetraphosphate + H2O = 2 ADP + 2 H+	1337 1066 	616 1064 
palmitate + ATP + coenzyme A -> palmitoyl-CoA + AMP + diphosphate	1338 718 856 	1341 707 955 
palmitoleate + ATP + coenzyme A + H+ -> palmitoleoyl-CoA + AMP + diphosphate + H+	1339 718 856 1064 	1340 707 955 1064 
palmitoleoyl-CoA + 1-cis-vaccenoyl-sn-glycerol-3-phosphate -> 1-cis-vaccenoyl-2-palmitoleoyl-sn-glycerol-3-phosphate + coenzyme A	1340 163 	162 856 
palmitoleoyl-CoA + 1-myristoyl-sn-glycerol 3-phosphate -> 1-myristoyl-2-palmitoleoyl-sn-glycerol 3-phosphate + coenzyme A	1340 170 	169 856 
palmitoleoyl-CoA + 1-palmitoyl-sn-glycerol 3-phosphate -> 1-palmitoyl-2-palmitoleoyl-sn-glycerol 3-phosphate + coenzyme A	1340 177 	176 856 
palmitoyl-CoA + a 1-acyl-sn-glycerol 3-phosphate = a 1-acyl-2-palmitoyl-sn-glycerol 3-phosphate + coenzyme A	1341 2319 	2504 856 
palmitoyl-CoA + H2O -> palmitate + coenzyme A + H+	1341 1066 	1338 856 1064 
paraoxon + H2O -> diethylphosphate + 4-nitrophenol + 2 H+	1342 1066 	946 422 1064 
parathion + H2O -> diethylthiophosphate + 4-nitrophenol + 2 H+	1343 1066 	947 422 1064 
Pb2+[periplasm] + ATP + H2O -> Pb2+[cytosol] + ADP + phosphate + H+	1345 718 1066 	1345 616 1354 1064 
peptidoglycan D-alanyl-DAP crosslink + H2O -> peptidoglycan tetrapeptide, glycan chain 1 + peptidoglycan tetrapeptide, glycan chain 2	2505 1066 	2506 2507 
phenyl-Coβ-adenosylcobamide 5'-phosphate + H2O -> phenyl-Coβ-adenosylcobamide + phosphate	1350 1066 	1349 1354 
phenylacetaldehyde + NAD+ + H2O -> phenylacetate + NADH + 2 H+	1351 1298 1066 	1352 1299 1064 
phenylacetate + ATP + coenzyme A -> phenylacetyl-CoA + AMP + diphosphate	1352 718 856 	1353 707 955 
phenylacetyl-CoA + NADPH + oxygen + H+ -> 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O	1353 1301 1336 1064 	225 1300 1066 
phosphate[cytosol] <- phosphate[periplasm]	1354	1354
phosphatidylglycerophosphate (1-octadecenoyl(9Z), 2-palmitoyl) + H2O -> 1-oleoyl-2-palmitoyl-phosphatidylglycerol + phosphate	1355 1066 	171 1354 
phosphoenolpyruvate + a [PTS enzyme I]-L-histidine -> pyruvate + a [PTS enzyme I]-Nπ-phospho-L-histidine	1356 1923 	1401 1921 
phosphoenolpyruvate + an [HPr]-L-histidine -> pyruvate + an [HPr protein]-Nπ-phospho-L-histidine	1356 1922 	1401 1924 
phosphoenolpyruvate + D-erythrose 4-phosphate + H2O -> 3-deoxy-D-arabino-heptulosonate 7-phosphate + phosphate	1356 888 1066 	325 1354 
phosphoribulosylformimino-AICAR-phosphate + ammonium -> D-erythro-imidazole-glycerol-phosphate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide + H2O + H+	1358 706 	886 439 1066 1064 
phosphoribulosylformimino-AICAR-phosphate + L-glutamine -> L-glutamate + D-erythro-imidazole-glycerol-phosphate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide + H+	1358 1159 	1157 886 439 1064 
phytenate + ATP + coenzyme A -> phytenoyl-CoA + AMP + diphosphate	1360 718 856 	1361 707 955 
phytol + NAD+ = phytenal + NADH + H+	1362 1298 	1359 1299 1064 
pimeloyl-CoA + L-alanine + H+ -> CO2 + 8-amino-7-oxononanoate + coenzyme A	1363 1119 1064 	834 516 856 
poly-β-1,6-N-acetyl-D-glucosamine + H2O -> partially deacetylated poly-β-1,6-N-acetyl-D-glucosamine + acetate	2508 1066 	1344 591 
ppGpp + H2O -> GDP + diphosphate + H+	1367 1066 	1012 955 1064 
pppGpp + H2O -> GTP + diphosphate + H+	1368 1066 	1058 955 1064 
pppGpp + H2O -> ppGpp + phosphate + H+	1368 1066 	1367 1354 1064 
precorrin-2 + NAD+ -> sirohydrochlorin + NADH + 2 H+	1370 1298 	1451 1299 1064 
prenyl diphosphate + isopentenyl diphosphate -> geranyl diphosphate + diphosphate	1371 1102 	1018 955 
prephenate + H+ -> 3-phenyl-2-oxopropanoate + CO2 + H2O	1372 1064 	371 834 1066 
preQ1 + 2 NADP+ <- preQ0 + 2 NADPH + 3 H+	1373 1301 1064 	1374 1300 
preuroporphyrinogen -> uroporphyrinogen-I + H2O	1375	1535 1066 
preuroporphyrinogen -> uroporphyrinogen-III + H2O	1375	1536 1066 
pristanate + ATP + coenzyme A -> pristanoyl-CoA + AMP + diphosphate	1376 718 856 	1377 707 955 
propan-1-ol + NAD+ = 1-propanal + NADH + H+	1378 1298 	178 1299 1064 
propanoate + ATP + coenzyme A -> propanoyl-CoA + AMP + diphosphate	1380 718 856 	1382 707 955 
propanoyl-CoA + NADP+ <- acryloyl-CoA + NADPH + H+	596 1301 1064 	1382 1300 
propanoyl-CoA + oxaloacetate + H2O = (2S,3S)-2-methylcitrate + coenzyme A + H+	1382 1332 1066 	34 856 1064 
propanoyl-CoA + phosphate -> propanoyl phosphate + coenzyme A	1382 1354 	1381 856 
propanoyl-CoA + succinate -> propanoate + succinyl-CoA	1382 1462 	1380 1464 
protoheme + (2E,6E)-farnesyl diphosphate + H2O -> ferroheme o + diphosphate	1383 19 1066 	990 955 
protoheme + 2 H+ <- protoporphyrin IX + Fe2+	1384 985 	1383 1064 
protoporphyrin IX[in] + 3 a menaquinol[membrane] <- protoporphyrinogen IX[in] + 3 a menaquinone[membrane]	1385 1612 	1384 1613 
protoporphyrin IX[in] + 6 H+[in] + 6 e-[membrane] -> protoporphyrinogen IX[in]	1384 1064 1606 	1385
protoporphyrinogen IX + 3 oxygen -> protoporphyrin IX + 3 hydrogen peroxide	1385 1336 	1384 1075 
pseudouridine + ATP -> pseudouridine 5'-phosphate + ADP + H+	1386 718 	1387 616 1064 
putrescine + 2-oxoglutarate -> 4-aminobutanal + L-glutamate	1390 280 	406 1157 
putrescine + L-glutamate + ATP -> γ-glutamyl-L-putrescine + ADP + phosphate + H+	1390 1157 718 	1006 616 1354 1064 
putrescine + S-adenosyl 3-(methylsulfanyl)propylamine -> spermidine + S-methyl-5'-thioadenosine + H+	1390 1425 	1457 1432 1064 
putrescine[periplasm] -> putrescine[cytosol]	1390	1390
putrescine[periplasm] + ornithine[cytosol] -> putrescine[cytosol] + ornithine[periplasm]	1390 2484 	1390 2484 
pyrazinamide + H2O -> ammonium + pyrazine-2-carboxylate	1391 1066 	706 1392 
pyridoxal + ATP -> pyridoxal 5'-phosphate + ADP + H+	1394 718 	1395 616 1064 
pyridoxal 5'-phosphate + H2O -> pyridoxal + phosphate	1395 1066 	1394 1354 
pyridoxamine 5'-phosphate + oxygen + H2O -> ammonium + hydrogen peroxide + pyridoxal 5'-phosphate	1397 1336 1066 	706 1075 1395 
pyridoxine 5'-phosphate + oxygen -> hydrogen peroxide + pyridoxal 5'-phosphate	1399 1336 	1075 1395 
pyrimidine[periplasm] -> pyrimidine[cytosol]	1400	1400
pyruvate + 2-oxobutanoate + H+ -> (S)-2-aceto-2-hydroxybutanoate + CO2	1401 279 1064 	122 834 
pyruvate + ATP <- phosphoenolpyruvate + ADP + H+	1356 616 1064 	1401 718 
pyruvate + ATP + H2O <=> phosphoenolpyruvate + AMP + phosphate + 2 H+	1401 718 1066 	1356 707 1354 1064 
pyruvate + D-glyceraldehyde 3-phosphate + H+ -> 1-deoxy-D-xylulose 5-phosphate + CO2	1401 899 1064 	164 834 
pyruvate + dATP <- phosphoenolpyruvate + dADP + H+	1356 924 1064 	1401 926 
pyruvate + dGTP <- phosphoenolpyruvate + dGDP + H+	1356 937 1064 	1401 939 
pyruvate + GTP <- phosphoenolpyruvate + GDP + H+	1356 1012 1064 	1401 1058 
pyruvate + hydroxylamine -> pyruvic oxime + H2O	1401 1082 	1402 1066 
pyruvate + L-aspartate 4-semialdehyde -> (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + H2O + H+	1401 1141 	37 1066 1064 
pyruvate + L-valine -> L-alanine + 3-methyl-2-oxobutanoate	1401 1188 	1119 340 
pyruvate[in] + 2 H+[in] + 2 e-[membrane] -> (R)-lactate[in]	1401 1064 1606 	110
quinoxaline-2-carboxyl adenylate + aryl-carrier protein -> a quinoxaline-2-carboxyl-[aryl-carrier protein] + AMP + H+	1405 2509 	2510 707 1064 
reduced riboflavin + NADP+ = riboflavin + NADPH + 2 H+	1407 1300 	1408 1301 1064 
repressor LexA + H2O -> cleaved repressor LexA	2511 1066 	2512
riboflavin + ATP -> ADP + FMN + H+	1408 718 	616 992 1064 
RNA(n+1) + phosphate = RNA(n) + a nucleoside diphosphate	2088 1354 	2088 1605 
RNase E degradation substrate mRNA + n H2O -> n+1 an mRNA fragment	2513 1066 	2514
RNase E mRNA processing substrate + n H2O -> RNase E processing product mRNA + n an mRNA fragment	2515 1066 	2516 2357 
RNase G degradation substrate mRNA + H2O -> 2 an mRNA fragment	2517 1066 	2357
RNase III mRNA processing substrate + 2 H2O -> RNase III processing product mRNA + 2 an mRNA fragment	2518 1066 	2519 2357 
RNase R degradation substrate RNA + n-1 H2O -> n-2 a nucleoside 5'-monophosphate + a diribonucleotide	2520 2521 	2522 2523 
